[ElemE 0]
POI_BUF: 
      0      0      0        0        0
     26     26      2    0.251    0.251
     27     27      1    0.251      0.5
     28     28      1     0.25    0.251
     29     29      2    0.251    0.251
     30     30      2    0.251    0.251
     31     31      1    0.251      0.5
[ElemE 6]
POI_BUF: 
      0      0      0      0.5     0.25
      1      1      1    0.501     0.25
      2      2      1    0.501     0.25
      3      3      0     0.75     0.25
      4      4      0     0.75     0.25
      5      5      1     0.75    0.251
      6      6      1     0.75    0.251
      7      7      0     0.75      0.5
      8      8      0      0.5      0.5
      9      9      1    0.501      0.5
     10     10      1    0.501      0.5
     11     11      0     0.75      0.5
     12     12      0      0.5     0.25
     13     13      1      0.5    0.251
     14     14      1      0.5    0.251
     15     15      0      0.5      0.5
     16     16      1      0.5    0.251
     17     17      2    0.501    0.251
     18     18      2    0.501    0.251
     19     19      1    0.501     0.25
     20     20      1     0.75    0.251
     21     21      2    0.501    0.251
     22     22      2    0.501    0.251
     23     23      1    0.501     0.25
     24     24      1     0.75    0.251
     25     25      2    0.501    0.251
     26     26      2    0.501    0.251
     27     27      1    0.501      0.5
     28     28      1      0.5    0.251
     29     29      2    0.501    0.251
     30     30      2    0.501    0.251
     31     31      1    0.501      0.5
[ElemE 7]
POI_BUF: 
      0      0      0     0.75     0.25
      1      1      1    0.751     0.25
      2      2      1    0.751     0.25
      3      3      0        1     0.25
      4      4      0        1     0.25
      5      5      1        1    0.251
      6      6      1        1    0.251
      7      7      0        1      0.5
      8      8      0     0.75      0.5
      9      9      1    0.751      0.5
     10     10      1    0.751      0.5
     11     11      0        1      0.5
     12     12      0     0.75     0.25
     13     13      1     0.75    0.251
     14     14      1     0.75    0.251
     15     15      0     0.75      0.5
     16     16      1     0.75    0.251
     17     17      2    0.751    0.251
     18     18      2    0.751    0.251
     19     19      1    0.751     0.25
     20     20      1        1    0.251
     21     21      2    0.751    0.251
     22     22      2    0.751    0.251
     23     23      1    0.751     0.25
     24     24      1        1    0.251
     25     25      2    0.751    0.251
     26     26      2    0.751    0.251
     27     27      1    0.751      0.5
     28     28      1     0.75    0.251
     29     29      2    0.751    0.251
     30     30      2    0.751    0.251
     31     31      1    0.751      0.5
[ElemE 8]
POI_BUF: 
      0      0      0        0      0.5
      1      1      1    0.001      0.5
      2      2      1    0.001      0.5
      3      3      0     0.25      0.5
      4      4      0     0.25      0.5
      5      5      1     0.25    0.501
      6      6      1     0.25    0.501
      7      7      0     0.25     0.75
      8      8      0        0     0.75
      9      9      1    0.001     0.75
     10     10      1    0.001     0.75
     11     11      0     0.25     0.75
     12     12      0        0      0.5
     13     13      1        0    0.501
     14     14      1        0    0.501
     15     15      0        0     0.75
     16     16      1        0    0.501
     17     17      2    0.001    0.501
     18     18      2    0.001    0.501
     19     19      1    0.001      0.5
     20     20      1     0.25    0.501
     21     21      2    0.001    0.501
     22     22      2    0.001    0.501
     23     23      1    0.001      0.5
     24     24      1     0.25    0.501
     25     25      2    0.001    0.501
     26     26      2    0.001    0.501
     27     27      1    0.001     0.75
     28     28      1        0    0.501
     29     29      2    0.001    0.501
     30     30      2    0.001    0.501
     31     31      1    0.001     0.75
[ElemE 9]
POI_BUF: 
      0      0      0     0.25      0.5
      1      1      1    0.251      0.5
      2      2      1    0.251      0.5
      3      3      0      0.5      0.5
      4      4      0      0.5      0.5
      5      5      1      0.5    0.501
      6      6      1      0.5    0.501
      7      7      0      0.5     0.75
      8      8      0     0.25     0.75
      9      9      1    0.251     0.75
     10     10      1    0.251     0.75
     11     11      0      0.5     0.75
     12     12      0     0.25      0.5
     13     13      1     0.25    0.501
     14     14      1     0.25    0.501
     15     15      0     0.25     0.75
     16     16      1     0.25    0.501
     17     17      2    0.251    0.501
     18     18      2    0.251    0.501
     19     19      1    0.251      0.5
     20     20      1      0.5    0.501
     21     21      2    0.251    0.501
     22     22      2    0.251    0.501
     23     23      1    0.251      0.5
     24     24      1      0.5    0.501
     25     25      2    0.251    0.501
     26     26      2    0.251    0.501
     27     27      1    0.251     0.75
     28     28      1     0.25    0.501
     29     29      2    0.251    0.501
     30     30      2    0.251    0.501
     31     31      1    0.251     0.75
[ElemE 10]
POI_BUF: 
      0      0      0      0.5      0.5
      1      1      1    0.501      0.5
      2      2      1    0.501      0.5
