[ElemE 0]
SUB_BUF: 
      1     27    0.376    0.376    0.376    0.376
      2     27    0.376      0.5    0.376      0.5
      3     27    0.375      0.5    0.375      0.5
[ElemE 28]
SUB_BUF: 
      0     28      0.5    0.376      0.5    0.376
      1     28    0.501    0.376    0.501    0.376
      2     28    0.501      0.5    0.501      0.5
      3     28      0.5      0.5      0.5      0.5
[ElemE 29]
SUB_BUF: 
      0     29    0.625    0.376    0.625    0.376
      1     29    0.626    0.376    0.626    0.376
      2     29    0.626      0.5    0.626      0.5
      3     29    0.625      0.5    0.625      0.5
[ElemE 30]
SUB_BUF: 
      0     30     0.75    0.376     0.75    0.376
      1     30    0.751    0.376    0.751    0.376
      2     30    0.751      0.5    0.751      0.5
      3     30     0.75      0.5     0.75      0.5
[ElemE 31]
SUB_BUF: 
      0     31    0.875    0.376    0.875    0.376
      1     31    0.876    0.376    0.876    0.376
      2     31    0.876      0.5    0.876      0.5
      3     31    0.875      0.5    0.875      0.5
[ElemE 32]
SUB_BUF: 
      0     32        0    0.501        0    0.501
      1     32    0.001    0.501    0.001    0.501
      2     32    0.001    0.625    0.001    0.625
      3     32        0    0.625        0    0.625
[ElemE 33]
SUB_BUF: 
      0     33    0.125    0.501    0.125    0.501
      1     33    0.126    0.501    0.126    0.501
      2     33    0.126    0.625    0.126    0.625
      3     33    0.125    0.625    0.125    0.625
[ElemE 34]
SUB_BUF: 
      0     34     0.25    0.501     0.25    0.501
      1     34    0.251    0.501    0.251    0.501
      2     34    0.251    0.625    0.251    0.625
      3     34     0.25    0.625     0.25    0.625
[ElemE 35]
SUB_BUF: 
      0     35    0.375    0.501    0.375    0.501
      1     35    0.376    0.501    0.376    0.501
      2     35    0.376    0.625    0.376    0.625
      3     35    0.375    0.625    0.375    0.625
[ElemE 36]
SUB_BUF: 
      0     36      0.5    0.501      0.5    0.501
      1     36    0.501    0.501    0.501    0.501
      2     36    0.501    0.625    0.501    0.625
      3     36      0.5    0.625      0.5    0.625
[ElemE 37]
SUB_BUF: 
      0     37    0.625    0.501    0.625    0.501
      1     37    0.626    0.501    0.626    0.501
      2     37    0.626    0.625    0.626    0.625
      3     37    0.625    0.625    0.625    0.625
[ElemE 38]
SUB_BUF: 
      0     38     0.75    0.501     0.75    0.501
      1     38    0.751    0.501    0.751    0.501
      2     38    0.751    0.625    0.751    0.625
      3     38     0.75    0.625     0.75    0.625
[ElemE 39]
SUB_BUF: 
      0     39    0.875    0.501    0.875    0.501
      1     39    0.876    0.501    0.876    0.501
      2     39    0.876    0.625    0.876    0.625
      3     39    0.875    0.625    0.875    0.625
[ElemE 40]
SUB_BUF: 
      0     40        0    0.626        0    0.626
      1     40    0.001    0.626    0.001    0.626
      2     40    0.001     0.75    0.001     0.75
      3     40        0     0.75        0     0.75
[ElemE 41]
SUB_BUF: 
      0     41    0.125    0.626    0.125    0.626
      1     41    0.126    0.626    0.126    0.626
      2     41    0.126     0.75    0.126     0.75
      3     41    0.125     0.75    0.125     0.75
[ElemE 42]
SUB_BUF: 
      0     42     0.25    0.626     0.25    0.626
      1     42    0.251    0.626    0.251    0.626
      2     42    0.251     0.75    0.251     0.75
      3     42     0.25     0.75     0.25     0.75
[ElemE 43]
SUB_BUF: 
      0     43    0.375    0.626    0.375    0.626
      1     43    0.376    0.626    0.376    0.626
      2     43    0.376     0.75    0.376     0.75
      3     43    0.375     0.75    0.375     0.75
[ElemE 44]
