10	10	2.0328e-02	0.00	2.7527e-02	0.00	1.4334e-01	0.00
20	20	5.2419e-03	1.96	7.3123e-03	1.91	4.5479e-02	1.66
40	40	1.3039e-03	2.01	1.8580e-03	1.98	1.1895e-02	1.93
80	80	3.0168e-04	2.11	4.3013e-04	2.11	2.4218e-03	2.30
160	160	7.9920e-05	1.92	1.1504e-04	1.90	7.3926e-04	1.71
