   0.12500000	   0.12500000	   0.89172087	   0.99992104
   0.37500000	   0.12500000	   0.17683449	   0.01256604
   0.62500000	   0.12500000	  -0.89172087	  -0.99992104
   0.87500000	   0.12500000	  -0.17683449	  -0.01256604
   0.12500000	   0.37500000	   0.17683449	   0.01256604
   0.37500000	   0.37500000	  -0.89172087	  -0.99992104
   0.62500000	   0.37500000	  -0.17683449	  -0.01256604
   0.87500000	   0.37500000	   0.89172087	   0.99992104
   0.12500000	   0.62500000	  -0.89172087	  -0.99992104
   0.37500000	   0.62500000	  -0.17683449	  -0.01256604
   0.62500000	   0.62500000	   0.89172087	   0.99992104
   0.87500000	   0.62500000	   0.17683449	   0.01256604
   0.12500000	   0.87500000	  -0.17683449	  -0.01256604
   0.37500000	   0.87500000	   0.89172087	   0.99992104
   0.62500000	   0.87500000	   0.17683449	   0.01256604
   0.87500000	   0.87500000	  -0.89172087	  -0.99992104
